service_id,date,exception_type
平日,20170918,2
土日祝,20170918,1
平日,20170923,2
土日祝,20170923,1
平日,20171009,2
土日祝,20171009,1
平日,20171103,2
土日祝,20171103,1
平日,20171123,2
土日祝,20171123,1
平日,20171223,2
土日祝,20171223,1
平日,20180101,2
土日祝,20180101,1
平日,20180108,2
土日祝,20180108,1
平日,20180211,2
土日祝,20180211,1
平日,20180212,2
土日祝,20180212,1
平日,20180321,2
土日祝,20180321,1
平日,20180429,2
土日祝,20180429,1
平日,20180430,2
土日祝,20180430,1
平日,20180503,2
土日祝,20180503,1
平日,20180504,2
土日祝,20180504,1
平日,20180505,2
土日祝,20180505,1
平日,20180716,2
土日祝,20180716,1
平日,20180811,2
土日祝,20180811,1
平日,20180917,2
土日祝,20180917,1
平日,20180923,2
土日祝,20180923,1
平日,20180924,2
土日祝,20180924,1
平日,20181008,2
土日祝,20181008,1
